task,k,qid,n_samples,n_parsed,distinct,H,H_norm,det,maj,maj_share,gold,maj_correct,mean_single_correct,mean_single_abserr,maj_abserr
LaMP-2,0,11192,3,3,1,-0.0,-0.0,1,sci-fi,1.0,action,0,0.0,,
LaMP-2,0,11197,3,3,2,0.6365141682948128,0.5793801642856949,0,classic,0.6666666666666666,action,0,0.3333333333333333,,
LaMP-2,0,112,3,3,1,-0.0,-0.0,1,twist ending,1.0,true story,0,0.0,,
LaMP-2,0,1120,3,3,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,0,11211,3,3,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,0,11219,3,3,2,0.6365141682948128,0.5793801642856949,0,comedy,0.6666666666666666,comedy,1,0.6666666666666666,,
LaMP-2,0,11226,3,3,2,0.6365141682948128,0.5793801642856949,0,true story,0.6666666666666666,true story,1,0.6666666666666666,,
LaMP-2,0,1123,3,3,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,0,11252,3,3,1,-0.0,-0.0,1,fantasy,1.0,fantasy,1,1.0,,
LaMP-2,0,11255,3,3,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,0,11263,3,3,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,0,11265,3,3,2,0.6365141682948128,0.5793801642856949,0,thought-provoking,0.6666666666666666,sci-fi,0,0.0,,
LaMP-2,0,11270,3,3,1,-0.0,-0.0,1,based on a book,1.0,sci-fi,0,0.0,,
LaMP-2,0,11275,3,3,1,-0.0,-0.0,1,fantasy,1.0,twist ending,0,0.0,,
LaMP-2,0,11277,3,3,3,1.0986122886681096,0.9999999999999998,0,classic,0.3333333333333333,twist ending,0,0.0,,
LaMP-2,0,11307,3,3,2,0.6365141682948128,0.5793801642856949,0,romance,0.6666666666666666,comedy,0,0.3333333333333333,,
LaMP-2,0,11311,3,3,3,1.0986122886681096,0.9999999999999998,0,based on a book,0.3333333333333333,twist ending,0,0.3333333333333333,,
LaMP-2,0,11316,3,3,2,0.6365141682948128,0.5793801642856949,0,sci-fi,0.6666666666666666,dystopia,0,0.0,,
LaMP-2,0,11321,3,3,2,0.6365141682948128,0.5793801642856949,0,sci-fi,0.6666666666666666,dystopia,0,0.0,,
LaMP-2,0,11332,3,3,2,0.6365141682948128,0.5793801642856949,0,fantasy,0.6666666666666666,dystopia,0,0.0,,
LaMP-2,4,11103,4,4,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,4,11106,4,4,2,0.6931471805599453,0.5,0,sci-fi,0.5,thought-provoking,0,0.5,,
LaMP-2,4,11120,4,4,2,0.5623351446188083,0.4056390622295664,0,dark comedy,0.75,dystopia,0,0.25,,
LaMP-2,4,11121,4,4,1,-0.0,-0.0,1,comedy,1.0,dark comedy,0,0.0,,
LaMP-2,4,11134,4,4,2,0.5623351446188083,0.4056390622295664,0,sci-fi,0.75,social commentary,0,0.25,,
LaMP-2,4,11140,4,4,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,4,11143,4,4,1,-0.0,-0.0,1,fantasy,1.0,comedy,0,0.0,,
LaMP-2,4,11144,4,4,1,-0.0,-0.0,1,fantasy,1.0,fantasy,1,1.0,,
LaMP-2,4,11145,4,4,1,-0.0,-0.0,1,sci-fi,1.0,twist ending,0,0.0,,
LaMP-2,4,11152,4,4,3,1.0397207708399179,0.75,0,sci-fi,0.5,comedy,0,0.25,,
LaMP-2,4,11154,4,4,2,0.5623351446188083,0.4056390622295664,0,dark comedy,0.75,dark comedy,1,0.75,,
LaMP-2,4,11159,4,4,1,-0.0,-0.0,1,classic,1.0,classic,1,1.0,,
LaMP-2,4,11162,4,4,2,0.6931471805599453,0.5,0,twist ending,0.5,twist ending,1,0.5,,
LaMP-2,4,11167,4,4,2,0.6931471805599453,0.5,0,sci-fi,0.5,comedy,0,0.5,,
LaMP-2,4,11172,4,4,2,0.5623351446188083,0.4056390622295664,0,violence,0.75,violence,1,0.75,,
LaMP-2,4,11176,4,4,3,1.0397207708399179,0.75,0,sci-fi,0.5,romance,0,0.0,,
LaMP-2,4,11179,4,4,3,1.0397207708399179,0.75,0,action,0.5,comedy,0,0.25,,
LaMP-2,4,11184,4,4,2,0.5623351446188083,0.4056390622295664,0,sci-fi,0.75,sci-fi,1,0.75,,
LaMP-2,4,11185,4,4,2,0.5623351446188083,0.4056390622295664,0,thought-provoking,0.75,true story,0,0.0,,
LaMP-2,4,11192,4,4,1,-0.0,-0.0,1,sci-fi,1.0,action,0,0.0,,
LaMP-2,4,11197,4,4,2,0.5623351446188083,0.4056390622295664,0,action,0.75,action,1,0.75,,
LaMP-2,4,112,4,4,1,-0.0,-0.0,1,psychology,1.0,true story,0,0.0,,
LaMP-2,4,1120,4,4,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,4,11211,4,4,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,4,11219,4,4,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,4,11226,4,4,1,-0.0,-0.0,1,twist ending,1.0,true story,0,0.0,,
LaMP-2,4,1123,4,4,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,4,11252,4,4,1,-0.0,-0.0,1,fantasy,1.0,fantasy,1,1.0,,
LaMP-2,4,11255,4,4,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,4,11263,4,4,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,4,11265,4,4,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,4,11270,4,4,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,4,11275,4,4,2,0.6931471805599453,0.5,0,twist ending,0.5,twist ending,1,0.5,,
LaMP-2,4,11277,4,4,3,1.0397207708399179,0.75,0,twist ending,0.5,twist ending,1,0.5,,
LaMP-2,4,11307,4,4,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,4,11311,4,4,2,0.5623351446188083,0.4056390622295664,0,violence,0.75,twist ending,0,0.0,,
LaMP-2,4,11316,4,4,1,-0.0,-0.0,1,sci-fi,1.0,dystopia,0,0.0,,
LaMP-2,4,11321,4,4,1,-0.0,-0.0,1,sci-fi,1.0,dystopia,0,0.0,,
LaMP-2,4,11332,4,4,2,0.5623351446188083,0.4056390622295664,0,thought-provoking,0.75,dystopia,0,0.0,,
LaMP-2,32,11103,3,3,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,32,11106,3,3,2,0.6365141682948128,0.5793801642856949,0,twist ending,0.6666666666666666,thought-provoking,0,0.0,,
LaMP-2,32,11120,3,3,2,0.6365141682948128,0.5793801642856949,0,dystopia,0.6666666666666666,dystopia,1,0.6666666666666666,,
LaMP-2,32,11121,3,3,1,-0.0,-0.0,1,comedy,1.0,dark comedy,0,0.0,,
LaMP-2,32,11134,3,3,3,1.0986122886681096,0.9999999999999998,0,sci-fi,0.3333333333333333,social commentary,0,0.3333333333333333,,
LaMP-2,32,11140,3,3,3,1.0986122886681096,0.9999999999999998,0,social commentary,0.3333333333333333,sci-fi,0,0.3333333333333333,,
LaMP-2,32,11143,3,3,2,0.6365141682948128,0.5793801642856949,0,comedy,0.6666666666666666,comedy,1,0.6666666666666666,,
LaMP-2,32,11144,3,3,2,0.6365141682948128,0.5793801642856949,0,fantasy,0.6666666666666666,fantasy,1,0.6666666666666666,,
LaMP-2,32,11145,3,3,2,0.6365141682948128,0.5793801642856949,0,social commentary,0.6666666666666666,twist ending,0,0.0,,
LaMP-2,32,11152,3,3,2,0.6365141682948128,0.5793801642856949,0,comedy,0.6666666666666666,comedy,1,0.6666666666666666,,
LaMP-2,32,11154,3,3,1,-0.0,-0.0,1,dark comedy,1.0,dark comedy,1,1.0,,
LaMP-2,32,11159,3,3,1,-0.0,-0.0,1,classic,1.0,classic,1,1.0,,
LaMP-2,32,11162,3,3,2,0.6365141682948128,0.5793801642856949,0,sci-fi,0.6666666666666666,twist ending,0,0.0,,
LaMP-2,32,11167,3,3,2,0.6365141682948128,0.5793801642856949,0,comedy,0.6666666666666666,comedy,1,0.6666666666666666,,
LaMP-2,32,11172,3,3,2,0.6365141682948128,0.5793801642856949,0,violence,0.6666666666666666,violence,1,0.6666666666666666,,
LaMP-2,32,11176,3,3,2,0.6365141682948128,0.5793801642856949,0,sci-fi,0.6666666666666666,romance,0,0.0,,
LaMP-2,32,11179,3,3,2,0.6365141682948128,0.5793801642856949,0,comedy,0.6666666666666666,comedy,1,0.6666666666666666,,
LaMP-2,32,11184,3,3,2,0.6365141682948128,0.5793801642856949,0,sci-fi,0.6666666666666666,sci-fi,1,0.6666666666666666,,
LaMP-2,32,11185,3,3,1,-0.0,-0.0,1,thought-provoking,1.0,true story,0,0.0,,
LaMP-2,32,11192,3,3,3,1.0986122886681096,0.9999999999999998,0,action,0.3333333333333333,action,1,0.3333333333333333,,
LaMP-2,32,11197,3,3,2,0.6365141682948128,0.5793801642856949,0,classic,0.6666666666666666,action,0,0.3333333333333333,,
LaMP-2,32,112,3,3,1,-0.0,-0.0,1,psychology,1.0,true story,0,0.0,,
LaMP-2,32,1120,3,3,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,32,11211,3,3,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,32,11219,3,3,2,0.6365141682948128,0.5793801642856949,0,comedy,0.6666666666666666,comedy,1,0.6666666666666666,,
LaMP-2,32,11226,3,3,1,-0.0,-0.0,1,twist ending,1.0,true story,0,0.0,,
LaMP-2,32,1123,3,3,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,32,11252,3,3,1,-0.0,-0.0,1,fantasy,1.0,fantasy,1,1.0,,
LaMP-2,32,11255,3,3,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,32,11263,3,3,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,32,11265,3,3,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,32,11270,3,3,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,32,11275,3,3,2,0.6365141682948128,0.5793801642856949,0,fantasy,0.6666666666666666,twist ending,0,0.3333333333333333,,
LaMP-2,32,11277,3,3,2,0.6365141682948128,0.5793801642856949,0,twist ending,0.6666666666666666,twist ending,1,0.6666666666666666,,
LaMP-2,32,11307,3,3,3,1.0986122886681096,0.9999999999999998,0,comedy,0.3333333333333333,comedy,1,0.3333333333333333,,
LaMP-2,32,11311,3,3,3,1.0986122886681096,0.9999999999999998,0,social commentary,0.3333333333333333,twist ending,0,0.0,,
LaMP-2,32,11316,3,3,2,0.6365141682948128,0.5793801642856949,0,sci-fi,0.6666666666666666,dystopia,0,0.0,,
LaMP-2,32,11321,3,3,2,0.6365141682948128,0.5793801642856949,0,sci-fi,0.6666666666666666,dystopia,0,0.0,,
LaMP-2,32,11332,3,3,3,1.0986122886681096,0.9999999999999998,0,based on a book,0.3333333333333333,dystopia,0,0.0,,
LaMP-3,0,21100,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,4,0,0.25,0.75,1.0
LaMP-3,0,211032,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211051,4,4,1,-0.0,-0.0,1,2,1.0,2,1,1.0,0.0,0.0
LaMP-3,0,211090,4,4,2,0.6931471805599453,0.5,0,5,0.5,4,0,0.5,0.5,1.0
LaMP-3,0,211108,4,4,1,-0.0,-0.0,1,3,1.0,5,0,0.0,2.0,2.0
LaMP-3,0,211114,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211170,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211176,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211184,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211196,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211217,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,4,1,0.75,0.25,0.0
LaMP-3,0,211221,4,4,1,-0.0,-0.0,1,4,1.0,5,0,0.0,1.0,1.0
LaMP-3,0,21123,4,4,2,0.5623351446188083,0.4056390622295664,0,3,0.75,4,0,0.25,0.75,1.0
LaMP-3,0,211242,4,4,1,-0.0,-0.0,1,4,1.0,5,0,0.0,1.0,1.0
LaMP-3,0,211262,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,5,0,0.25,0.75,1.0
LaMP-3,0,211268,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,0,211270,4,4,2,0.6931471805599453,0.5,0,4,0.5,5,0,0.5,0.5,1.0
LaMP-3,0,211276,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211282,4,4,1,-0.0,-0.0,1,4,1.0,5,0,0.0,1.0,1.0
LaMP-3,0,2113,4,4,1,-0.0,-0.0,1,5,1.0,4,0,0.0,1.0,1.0
LaMP-3,0,211325,4,4,1,-0.0,-0.0,1,3,1.0,3,1,1.0,0.0,0.0
LaMP-3,0,211338,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211367,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,0,211385,4,4,1,-0.0,-0.0,1,2,1.0,3,0,0.0,1.0,1.0
LaMP-3,0,211401,4,4,1,-0.0,-0.0,1,4,1.0,5,0,0.0,1.0,1.0
LaMP-3,0,211403,4,4,1,-0.0,-0.0,1,4,1.0,5,0,0.0,1.0,1.0
LaMP-3,0,211407,4,4,1,-0.0,-0.0,1,4,1.0,5,0,0.0,1.0,1.0
LaMP-3,0,211428,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,21146,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211466,4,4,1,-0.0,-0.0,1,4,1.0,4,1,1.0,0.0,0.0
LaMP-3,0,211472,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,5,0,0.25,0.75,1.0
LaMP-3,0,211543,4,4,2,0.5623351446188083,0.4056390622295664,0,3,0.75,3,1,0.75,0.25,0.0
LaMP-3,0,211586,4,4,2,0.6931471805599453,0.5,0,4,0.5,4,1,0.5,0.5,0.0
LaMP-3,0,211601,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211633,4,4,1,-0.0,-0.0,1,2,1.0,3,0,0.0,1.0,1.0
LaMP-3,0,211642,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211688,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,0,211717,4,4,2,0.5623351446188083,0.4056390622295664,0,2,0.75,3,0,0.25,0.75,1.0
LaMP-3,0,211752,4,4,2,0.5623351446188083,0.4056390622295664,0,2,0.75,1,0,0.0,1.5,1.0
LaMP-3,4,21100,4,4,2,0.6931471805599453,0.5,0,4,0.5,4,1,0.5,0.5,0.0
LaMP-3,4,211032,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211051,4,4,3,1.0397207708399179,0.75,0,3,0.5,2,0,0.25,1.25,1.0
LaMP-3,4,211090,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,4,0,0.25,0.75,1.0
LaMP-3,4,211108,4,4,1,-0.0,-0.0,1,3,1.0,5,0,0.0,2.0,2.0
LaMP-3,4,211114,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211170,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211176,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211184,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211196,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,4,211217,4,4,1,-0.0,-0.0,1,4,1.0,4,1,1.0,0.0,0.0
LaMP-3,4,211221,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,5,0,0.0,1.25,1.0
LaMP-3,4,21123,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,4,1,0.75,0.25,0.0
LaMP-3,4,211242,4,4,3,1.0397207708399179,0.75,0,4,0.5,5,0,0.25,1.5,1.0
LaMP-3,4,211262,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211268,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,4,211270,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211276,4,4,2,0.6931471805599453,0.5,0,4,0.5,5,0,0.5,0.5,1.0
LaMP-3,4,211282,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,2113,4,4,1,-0.0,-0.0,1,4,1.0,4,1,1.0,0.0,0.0
LaMP-3,4,211325,4,4,2,0.5623351446188083,0.4056390622295664,0,3,0.75,3,1,0.75,0.5,0.0
LaMP-3,4,211338,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211367,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211385,4,4,3,1.0397207708399179,0.75,0,2,0.5,3,0,0.25,1.0,1.0
LaMP-3,4,211401,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211403,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,4,211407,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,5,0,0.25,0.75,1.0
LaMP-3,4,211428,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,21146,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211466,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,4,1,0.75,0.25,0.0
LaMP-3,4,211472,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,4,211543,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,3,0,0.0,1.75,2.0
LaMP-3,4,211586,4,4,1,-0.0,-0.0,1,4,1.0,4,1,1.0,0.0,0.0
LaMP-3,4,211601,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211633,4,4,3,1.0397207708399179,0.75,0,5,0.5,3,0,0.25,1.25,2.0
LaMP-3,4,211642,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211688,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,4,211717,4,4,3,1.0397207708399179,0.75,0,5,0.5,3,0,0.25,1.5,2.0
LaMP-3,4,211752,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,1,0,0.25,3.0,4.0
LaMP-3,32,21100,4,4,1,-0.0,-0.0,1,5,1.0,4,0,0.0,1.0,1.0
LaMP-3,32,211032,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211051,4,4,2,0.5623351446188083,0.4056390622295664,0,2,0.75,2,1,0.75,0.25,0.0
LaMP-3,32,211090,4,4,1,-0.0,-0.0,1,5,1.0,4,0,0.0,1.0,1.0
LaMP-3,32,211108,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,5,0,0.25,0.75,1.0
LaMP-3,32,211114,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211170,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211176,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211184,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211196,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211217,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,4,1,0.75,0.25,0.0
LaMP-3,32,211221,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,32,21123,4,4,2,0.5623351446188083,0.4056390622295664,0,4,0.75,4,1,0.75,0.25,0.0
LaMP-3,32,211242,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,1.0,0.0
LaMP-3,32,211262,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,32,211268,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,32,211270,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211276,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211282,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.25,0.0
LaMP-3,32,2113,4,4,1,-0.0,-0.0,1,4,1.0,4,1,1.0,0.0,0.0
LaMP-3,32,211325,4,4,1,-0.0,-0.0,1,3,1.0,3,1,1.0,0.0,0.0
LaMP-3,32,211338,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,1.0,0.0
LaMP-3,32,211367,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211385,4,4,2,0.6931471805599453,0.5,0,4,0.5,3,0,0.0,1.5,1.0
LaMP-3,32,211401,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211403,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211407,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211428,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,0.75,0.0
LaMP-3,32,21146,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211466,4,4,2,0.6931471805599453,0.5,0,5,0.5,4,0,0.5,0.5,1.0
LaMP-3,32,211472,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211543,4,4,1,-0.0,-0.0,1,5,1.0,3,0,0.0,2.0,2.0
LaMP-3,32,211586,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,4,0,0.25,0.75,1.0
LaMP-3,32,211601,4,4,2,0.6931471805599453,0.5,0,5,0.5,5,1,0.5,2.0,0.0
LaMP-3,32,211633,4,4,2,0.5623351446188083,0.4056390622295664,0,2,0.75,3,0,0.0,1.25,1.0
LaMP-3,32,211642,4,4,2,0.5623351446188083,0.4056390622295664,0,5,0.75,5,1,0.75,1.0,0.0
LaMP-3,32,211688,4,4,1,-0.0,-0.0,1,5,1.0,5,1,1.0,0.0,0.0
LaMP-3,32,211717,4,4,2,0.6931471805599453,0.5,0,4,0.5,3,0,0.0,1.5,1.0
LaMP-3,32,211752,4,4,2,0.6931471805599453,0.5,0,1,0.5,1,1,0.5,2.0,0.0
